FECHA_TOMA_MUESTRA;FECHA_ESTIMADA_RECUPERACION;ID_DEPARTAMENTO;DEPARTAMENTO;TOTAL
2021/09/04 00:00:00.000;2021/09/25 00:00:00.000;1;GUATEMALA;890.0
2021/09/07 00:00:00.000;2021/09/28 00:00:00.000;1;GUATEMALA;1618.0
2021/09/20 00:00:00.000;2021/10/11 00:00:00.000;1;GUATEMALA;939.0
2021/09/23 00:00:00.000;2021/10/14 00:00:00.000;1;GUATEMALA;724.0
2021/10/06 00:00:00.000;2021/10/27 00:00:00.000;1;GUATEMALA;271.0
2021/10/09 00:00:00.000;2021/10/30 00:00:00.000;1;GUATEMALA;133.0
2021/10/19 00:00:00.000;2021/11/09 00:00:00.000;1;GUATEMALA;138.0
2021/10/22 00:00:00.000;2021/11/12 00:00:00.000;1;GUATEMALA;115.0
2021/11/04 00:00:00.000;2021/11/25 00:00:00.000;1;GUATEMALA;52.0
2021/11/07 00:00:00.000;2021/11/28 00:00:00.000;1;GUATEMALA;33.0
2021/11/20 00:00:00.000;2021/12/11 00:00:00.000;1;GUATEMALA;30.0
2021/11/23 00:00:00.000;2021/12/14 00:00:00.000;1;GUATEMALA;52.0
2021/12/03 00:00:00.000;2021/12/24 00:00:00.000;1;GUATEMALA;34.0
2021/12/06 00:00:00.000;2021/12/27 00:00:00.000;1;GUATEMALA;26.0
2021/12/19 00:00:00.000;2022/01/09 00:00:00.000;1;GUATEMALA;85.0
2021/12/22 00:00:00.000;2022/01/12 00:00:00.000;1;GUATEMALA;269.0
2022/01/04 00:00:00.000;2022/01/25 00:00:00.000;1;GUATEMALA;1616.0
2022/01/07 00:00:00.000;2022/01/28 00:00:00.000;1;GUATEMALA;1763.0
2022/01/20 00:00:00.000;2022/02/10 00:00:00.000;1;GUATEMALA;2345.0
2022/02/02 00:00:00.000;2022/02/23 00:00:00.000;1;GUATEMALA;2492.0
2022/02/05 00:00:00.000;2022/02/26 00:00:00.000;1;GUATEMALA;1413.0
2022/02/18 00:00:00.000;2022/03/11 00:00:00.000;1;GUATEMALA;1744.0
2022/02/21 00:00:00.000;2022/03/14 00:00:00.000;1;GUATEMALA;1727.0
2022/03/06 00:00:00.000;2022/03/27 00:00:00.000;1;GUATEMALA;393.0
2022/03/19 00:00:00.000;2022/04/09 00:00:00.000;1;GUATEMALA;200.0
2022/03/22 00:00:00.000;2022/04/12 00:00:00.000;1;GUATEMALA;290.0
2022/04/04 00:00:00.000;2022/04/25 00:00:00.000;1;GUATEMALA;158.0
2022/04/07 00:00:00.000;2022/04/28 00:00:00.000;1;GUATEMALA;126.0
2022/04/20 00:00:00.000;2022/05/11 00:00:00.000;1;GUATEMALA;136.0
2022/04/23 00:00:00.000;2022/05/14 00:00:00.000;1;GUATEMALA;62.0
2022/05/03 00:00:00.000;2022/05/24 00:00:00.000;1;GUATEMALA;124.0
2022/05/06 00:00:00.000;2022/05/27 00:00:00.000;1;GUATEMALA;97.0
2022/05/19 00:00:00.000;2022/06/09 00:00:00.000;1;GUATEMALA;178.0
2022/05/22 00:00:00.000;2022/06/12 00:00:00.000;1;GUATEMALA;121.0
2022/06/04 00:00:00.000;2022/06/25 00:00:00.000;1;GUATEMALA;351.0
2022/06/07 00:00:00.000;2022/06/28 00:00:00.000;1;GUATEMALA;687.0
2022/06/17 00:00:00.000;2022/07/08 00:00:00.000;1;GUATEMALA;1386.0
2022/06/20 00:00:00.000;2022/07/11 00:00:00.000;1;GUATEMALA;2565.0
2022/07/03 00:00:00.000;2022/07/24 00:00:00.000;1;GUATEMALA;1798.0
2022/07/06 00:00:00.000;2022/07/27 00:00:00.000;1;GUATEMALA;4666.0
2022/07/19 00:00:00.000;2022/08/09 00:00:00.000;1;GUATEMALA;2038.0
2022/07/22 00:00:00.000;2022/08/12 00:00:00.000;1;GUATEMALA;1460.0
2022/08/04 00:00:00.000;2022/08/25 00:00:00.000;1;GUATEMALA;615.0
2020/05/04 00:00:00.000;2020/05/25 00:00:00.000;10;SUCHITEPEQUEZ;1.0
2020/05/20 00:00:00.000;2020/06/10 00:00:00.000;10;SUCHITEPEQUEZ;1.0
2020/06/02 00:00:00.000;2020/06/23 00:00:00.000;10;SUCHITEPEQUEZ;4.0
2020/06/05 00:00:00.000;2020/06/26 00:00:00.000;10;SUCHITEPEQUEZ;3.0
2020/06/15 00:00:00.000;2020/07/06 00:00:00.000;10;SUCHITEPEQUEZ;19.0
2020/06/18 00:00:00.000;2020/07/09 00:00:00.000;10;SUCHITEPEQUEZ;11.0
2020/07/01 00:00:00.000;2020/07/22 00:00:00.000;10;SUCHITEPEQUEZ;29.0
2020/07/04 00:00:00.000;2020/07/25 00:00:00.000;10;SUCHITEPEQUEZ;28.0
2020/07/17 00:00:00.000;2020/08/07 00:00:00.000;10;SUCHITEPEQUEZ;33.0
2020/07/20 00:00:00.000;2020/08/10 00:00:00.000;10;SUCHITEPEQUEZ;52.0
2020/07/30 00:00:00.000;2020/08/20 00:00:00.000;10;SUCHITEPEQUEZ;44.0
2020/08/02 00:00:00.000;2020/08/23 00:00:00.000;10;SUCHITEPEQUEZ;20.0
2020/08/15 00:00:00.000;2020/09/05 00:00:00.000;10;SUCHITEPEQUEZ;13.0
2020/08/18 00:00:00.000;2020/09/08 00:00:00.000;10;SUCHITEPEQUEZ;24.0
2020/08/31 00:00:00.000;2020/09/21 00:00:00.000;10;SUCHITEPEQUEZ;27.0
2020/09/03 00:00:00.000;2020/09/24 00:00:00.000;10;SUCHITEPEQUEZ;9.0
2020/09/13 00:00:00.000;2020/10/04 00:00:00.000;10;SUCHITEPEQUEZ;5.0
2020/09/16 00:00:00.000;2020/10/07 00:00:00.000;10;SUCHITEPEQUEZ;17.0
2020/09/29 00:00:00.000;2020/10/20 00:00:00.000;10;SUCHITEPEQUEZ;19.0
2020/10/02 00:00:00.000;2020/10/23 00:00:00.000;10;SUCHITEPEQUEZ;10.0
2020/10/15 00:00:00.000;2020/11/05 00:00:00.000;10;SUCHITEPEQUEZ;8.0
2020/10/18 00:00:00.000;2020/11/08 00:00:00.000;10;SUCHITEPEQUEZ;10.0
2020/10/31 00:00:00.000;2020/11/21 00:00:00.000;10;SUCHITEPEQUEZ;5.0
